date,source,player_name,position,winnings,gender,episode_bankrupts,episode_lose_a_turns,url
2021-09-28,WordPress,Ashley,3,1300,F,4.0,1.0,https://andynwof.wordpress.com/2021/09/28/wof-recap-september-28-2021/
2021-09-28,WordPress,Ashley,4,4,F,4.0,1.0,https://andynwof.wordpress.com/2021/09/28/wof-recap-september-28-2021/
2021-09-28,WordPress,Melissa,5,650,F,4.0,1.0,https://andynwof.wordpress.com/2021/09/28/wof-recap-september-28-2021/
2021-09-28,WordPress,Jorge,6,650,M,4.0,1.0,https://andynwof.wordpress.com/2021/09/28/wof-recap-september-28-2021/
2021-09-28,WordPress,Melissa,7,2,F,4.0,1.0,https://andynwof.wordpress.com/2021/09/28/wof-recap-september-28-2021/
2021-09-28,WordPress,Jorge,8,7600,M,4.0,1.0,https://andynwof.wordpress.com/2021/09/28/wof-recap-september-28-2021/
2021-09-28,WordPress,Ashley,9,2300,F,4.0,1.0,https://andynwof.wordpress.com/2021/09/28/wof-recap-september-28-2021/
2021-09-28,WordPress,Melissa,10,10500,F,4.0,1.0,https://andynwof.wordpress.com/2021/09/28/wof-recap-september-28-2021/
2021-09-28,WordPress,Jorge,11,650,M,4.0,1.0,https://andynwof.wordpress.com/2021/09/28/wof-recap-september-28-2021/
2021-09-28,WordPress,Melissa,12,9175,F,4.0,1.0,https://andynwof.wordpress.com/2021/09/28/wof-recap-september-28-2021/
2021-09-28,WordPress,Jorge,13,7600,M,4.0,1.0,https://andynwof.wordpress.com/2021/09/28/wof-recap-september-28-2021/
2021-09-28,WordPress,Ashley,14,2300,F,4.0,1.0,https://andynwof.wordpress.com/2021/09/28/wof-recap-september-28-2021/
2021-09-28,WordPress,Melissa,15,20175,F,4.0,1.0,https://andynwof.wordpress.com/2021/09/28/wof-recap-september-28-2021/
2021-09-28,WordPress,Jorge,16,11600,M,4.0,1.0,https://andynwof.wordpress.com/2021/09/28/wof-recap-september-28-2021/
2021-09-28,WordPress,Ashley,17,2300,F,4.0,1.0,https://andynwof.wordpress.com/2021/09/28/wof-recap-september-28-2021/
2021-09-29,WordPress,Chinue,1,700,Unknown,4.0,4.0,https://andynwof.wordpress.com/2021/09/29/wof-recap-september-29-2021/
2021-09-29,WordPress,Daniel,2,900,M,4.0,4.0,https://andynwof.wordpress.com/2021/09/29/wof-recap-september-29-2021/
2021-09-29,WordPress,Chinue,3,1800,Unknown,4.0,4.0,https://andynwof.wordpress.com/2021/09/29/wof-recap-september-29-2021/
2021-09-29,WordPress,Lisa,4,4750,F,4.0,4.0,https://andynwof.wordpress.com/2021/09/29/wof-recap-september-29-2021/
2021-09-29,WordPress,Daniel,5,1,M,4.0,4.0,https://andynwof.wordpress.com/2021/09/29/wof-recap-september-29-2021/
2021-09-29,WordPress,Chinue,6,1800,Unknown,4.0,4.0,https://andynwof.wordpress.com/2021/09/29/wof-recap-september-29-2021/
2021-09-29,WordPress,Chinue,7,1800,Unknown,4.0,4.0,https://andynwof.wordpress.com/2021/09/29/wof-recap-september-29-2021/
2021-09-29,WordPress,Daniel,8,500,M,4.0,4.0,https://andynwof.wordpress.com/2021/09/29/wof-recap-september-29-2021/
2021-09-29,WordPress,Lisa,9,4750,F,4.0,4.0,https://andynwof.wordpress.com/2021/09/29/wof-recap-september-29-2021/
2021-09-29,WordPress,Daniel,10,10750,M,4.0,4.0,https://andynwof.wordpress.com/2021/09/29/wof-recap-september-29-2021/
2021-09-29,WordPress,Chinue,11,1800,Unknown,4.0,4.0,https://andynwof.wordpress.com/2021/09/29/wof-recap-september-29-2021/
2021-09-29,WordPress,Lisa,12,11950,F,4.0,4.0,https://andynwof.wordpress.com/2021/09/29/wof-recap-september-29-2021/
2021-09-29,WordPress,Daniel,13,12750,M,4.0,4.0,https://andynwof.wordpress.com/2021/09/29/wof-recap-september-29-2021/
2021-09-29,WordPress,Chinue,14,1800,Unknown,4.0,4.0,https://andynwof.wordpress.com/2021/09/29/wof-recap-september-29-2021/
2021-09-30,WordPress,Chris,1,1300,M,3.0,3.0,https://andynwof.wordpress.com/2021/09/30/wof-recap-september-30-2021/
2021-09-30,WordPress,Joyce,2,700,F,3.0,3.0,https://andynwof.wordpress.com/2021/09/30/wof-recap-september-30-2021/
2021-09-30,WordPress,Joyce,3,500,F,3.0,3.0,https://andynwof.wordpress.com/2021/09/30/wof-recap-september-30-2021/
2021-09-30,WordPress,Jessica,4,700,F,3.0,3.0,https://andynwof.wordpress.com/2021/09/30/wof-recap-september-30-2021/
2021-09-30,WordPress,Joyce,5,650,F,3.0,3.0,https://andynwof.wordpress.com/2021/09/30/wof-recap-september-30-2021/
2021-09-30,WordPress,Chris,6,700,M,3.0,3.0,https://andynwof.wordpress.com/2021/09/30/wof-recap-september-30-2021/
2021-09-30,WordPress,Chris,7,7,M,3.0,3.0,https://andynwof.wordpress.com/2021/09/30/wof-recap-september-30-2021/
2021-09-30,WordPress,Jessica,8,1,F,3.0,3.0,https://andynwof.wordpress.com/2021/09/30/wof-recap-september-30-2021/
2021-09-30,WordPress,Chris,9,1,M,3.0,3.0,https://andynwof.wordpress.com/2021/09/30/wof-recap-september-30-2021/
2021-09-30,WordPress,Chris,10,16810,M,3.0,3.0,https://andynwof.wordpress.com/2021/09/30/wof-recap-september-30-2021/
2021-09-30,WordPress,Jessica,11,1,F,3.0,3.0,https://andynwof.wordpress.com/2021/09/30/wof-recap-september-30-2021/
2021-09-30,WordPress,Joyce,12,2,F,3.0,3.0,https://andynwof.wordpress.com/2021/09/30/wof-recap-september-30-2021/
2021-09-30,WordPress,Chris,13,23310,M,3.0,3.0,https://andynwof.wordpress.com/2021/09/30/wof-recap-september-30-2021/
2021-09-30,WordPress,Jessica,14,3,F,3.0,3.0,https://andynwof.wordpress.com/2021/09/30/wof-recap-september-30-2021/
2021-10-11,WordPress,Yanneisha,1,1200,Unknown,2.0,0.0,https://andynwof.wordpress.com/2021/10/11/wof-recap-october-11-2021/
2021-10-11,WordPress,Michael,2,3200,M,2.0,0.0,https://andynwof.wordpress.com/2021/10/11/wof-recap-october-11-2021/
2021-10-11,WordPress,Amy,3,650,F,2.0,0.0,https://andynwof.wordpress.com/2021/10/11/wof-recap-october-11-2021/
2021-10-11,WordPress,Yanneisha,4,650,Unknown,2.0,0.0,https://andynwof.wordpress.com/2021/10/11/wof-recap-october-11-2021/
2021-10-11,WordPress,Yanneisha,5,6,Unknown,2.0,0.0,https://andynwof.wordpress.com/2021/10/11/wof-recap-october-11-2021/
2021-10-11,WordPress,Michael,6,15250,M,2.0,0.0,https://andynwof.wordpress.com/2021/10/11/wof-recap-october-11-2021/
